"","X","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","assign","date"
"1",1,0,0,0,1,0,0,0,1,0,2,"before",2022-01-20
"2",2,1,1,1,1,1,1,0,1,2,2,"before",2022-01-20
"3",3,0,5,0,1,4,0,1,6,2,6,"before",2022-01-20
"4",4,0,0,0,0,0,0,0,0,0,0,"before",2022-01-20
"5",5,0,0,0,0,0,0,0,0,0,1,"before",2022-01-20
"6",6,0,0,0,0,0,0,0,0,0,0,"before",2022-01-20
"7",7,0,0,0,0,0,0,0,0,0,0,"before",2022-01-20
"8",8,1,1,0,0,1,1,1,1,1,2,"before",2022-01-20
"9",9,1,1,0,0,2,1,1,3,2,2,"before",2022-01-20
"10",10,2,1,1,2,1,2,1,2,2,3,"before",2022-01-19
"11",11,0,0,0,0,0,0,0,1,1,3,"before",2022-01-19
"12",12,0,0,0,0,0,0,0,0,0,0,"before",2022-01-19
"13",13,0,0,0,0,0,0,0,0,0,0,"before",2022-01-19
"14",14,0,0,0,0,0,0,0,0,0,0,"before",2022-01-19
"15",15,1,0,1,2,0,1,1,3,3,3,"before",2022-01-19
"16",16,0,0,0,0,0,0,0,1,0,0,"before",2022-01-19
"17",17,2,0,2,0,0,3,1,0,3,1,"before",2022-01-19
"18",18,0,2,0,0,1,1,0,4,1,4,"before",2022-01-19
"19",19,0,0,0,0,0,0,0,0,1,0,"before",2022-01-19
"20",20,2,1,1,1,1,1,1,4,2,2,"before",2022-01-19
"21",21,1,0,0,0,0,0,0,1,1,0,"before",2022-01-18
"22",22,0,2,0,3,0,1,0,0,2,0,"before",2022-01-18
"23",23,0,0,0,0,0,1,2,1,1,3,"before",2022-01-18
"24",24,1,2,0,0,2,1,1,3,1,2,"before",2022-01-18
"25",25,0,3,1,2,2,4,1,4,4,5,"before",2022-01-18
"26",26,2,0,2,2,0,4,1,1,4,0,"before",2022-01-18
"27",27,1,1,0,1,0,0,0,0,1,1,"before",2022-01-18
"28",28,0,1,0,1,1,2,1,2,2,2,"before",2022-01-17
"29",29,1,1,1,1,0,1,0,2,1,3,"before",2022-01-17
"30",30,1,1,0,0,0,1,0,1,2,2,"before",2022-01-17
"31",31,0,0,0,0,0,2,0,0,2,0,"before",2022-01-17
"32",32,2,0,1,0,0,2,0,1,5,1,"before",2022-01-17
